payment_id,order_id,payment_method,payment_status,payment_date,amount
62,O00000062,Credit Card,Success,2024-09-28 22:56:38.713420,1592.0
63,O00000063,Credit Card,Success,2024-02-24 19:39:27.788267,1087.18
64,O00000064,UPI,Success,2025-09-07 09:34:29.710215,1269.08
65,O00000065,UPI,Success,2025-08-10 14:15:56.631464,1313.93
66,O00000066,Debit Card,Success,2025-02-24 22:11:03.711572,1493.59
67,O00000067,COD,Success,2024-04-06 16:15:23.904834,197.83
68,O00000068,Credit Card,Success,2024-02-10 22:41:32.431325,403.18
69,O00000069,COD,Success,2025-03-22 23:51:28.498989,2659.83
70,O00000070,UPI,Success,2024-08-28 20:24:05.791273,2118.73
71,O00000071,Credit Card,Success,2025-05-27 00:20:41.739837,222.12
72,O00000072,UPI,Success,2024-03-13 14:38:45.348773,586.48
73,O00000073,Credit Card,Success,2025-01-18 01:35:42.840753,48.09
74,O00000074,COD,Success,2024-10-10 11:06:23.025728,52.93
75,O00000075,Credit Card,Failed,2025-04-14 16:11:35.089192,420.44
76,O00000076,Debit Card,Success,2025-08-15 01:12:10.086751,357.16
77,O00000077,Credit Card,Success,2024-12-31 15:57:19.808395,1836.0
78,O00000078,UPI,Success,2025-03-31 20:56:31.152145,186.4
79,O00000079,UPI,Success,2025-06-21 14:20:12.193737,1266.95
80,O00000080,Debit Card,Success,2025-05-12 17:54:08.645210,383.26
81,O00000081,Credit Card,Success,2024-04-20 00:30:20.300092,777.99
82,O00000082,COD,Success,2024-07-17 15:00:08.769714,1206.21
83,O00000083,Credit Card,Success,2024-10-10 03:52:56.568315,25.52
84,O00000084,Credit Card,Success,2025-05-29 02:02:55.910744,77.27
85,O00000085,UPI,Success,2024-12-10 13:47:48.943111,661.52
86,O00000086,Credit Card,Success,2025-04-14 17:42:35.501991,281.05
87,O00000087,COD,Success,2025-10-07 21:11:06.628040,168.44
88,O00000088,Debit Card,Failed,2024-12-26 04:40:18.902963,83.17
89,O00000089,Credit Card,Success,2025-06-15 17:00:43.601855,751.36
90,O00000090,COD,Success,2025-09-13 09:32:15.898009,57.1
91,O00000091,Debit Card,Failed,2024-01-23 19:39:57.908912,1707.41
92,O00000092,UPI,Success,2025-11-05 22:00:45.912756,253.86
93,O00000093,Credit Card,Success,2024-04-13 04:26:02.471458,95.4
94,O00000094,Credit Card,Success,2025-05-02 02:15:35.294861,14.99
95,O00000095,Debit Card,Success,2025-10-24 13:59:18.644697,52.87
96,O00000096,Debit Card,Success,2024-07-28 13:38:40.750905,178.96
97,O00000097,UPI,Success,2024-11-29 11:25:36.772097,100.3
98,O00000098,Credit Card,Success,2024-10-06 17:41:56.200074,1435.2
99,O00000099,Debit Card,Success,2025-06-03 07:06:34.186138,256.9
100,O00000100,UPI,Success,2025-01-27 04:49:33.881335,1583.93
101,O00000101,UPI,Success,2024-08-02 03:30:37.609226,312.65
102,O00000102,Debit Card,Success,2024-08-12 11:11:05.387227,544.65
103,O00000103,UPI,Success,2024-11-08 16:56:07.140379,226.13
104,O00000104,Credit Card,Success,2025-01-23 06:08:17.549772,459.63
105,O00000105,UPI,Success,2024-08-14 18:21:52.580136,164.91
106,O00000106,UPI,Success,2025-11-12 14:26:17.170135,153.71
107,O00000107,UPI,Success,2024-09-11 21:01:42.840796,91.42
108,O00000108,Credit Card,Success,2025-07-31 09:14:48.742449,973.82
109,O00000109,Credit Card,Success,2025-03-22 00:54:41.952477,103.67
110,O00000110,UPI,Success,2024-08-21 07:02:04.504958,808.1
111,O00000111,Credit Card,Success,2024-01-09 19:21:50.198698,126.05
112,O00000112,Debit Card,Success,2024-12-16 09:04:04.736779,1226.59
113,O00000113,UPI,Success,2024-11-30 04:22:58.423074,71.4
114,O00000114,UPI,Success,2025-03-26 17:41:55.397021,114.08
115,O00000115,Credit Card,Failed,2024-11-28 12:20:51.468105,183.95
116,O00000116,Credit Card,Success,2024-02-29 06:15:07.036596,263.98
117,O00000117,UPI,Success,2024-11-13 01:29:01.827134,22.38
118,O00000118,UPI,Pending,2024-09-26 09:50:37.580130,231.8
119,O00000119,Debit Card,Success,2025-06-25 13:20:53.237744,71.07
120,O00000120,UPI,Success,2024-10-23 06:58:46.384791,354.29
121,O00000121,COD,Success,2025-05-25 22:57:43.503048,74.93
122,O00000122,Credit Card,Success,2024-03-09 20:44:10.663939,292.52
123,O00000123,UPI,Success,2025-03-24 23:14:09.391960,132.13
124,O00000124,Debit Card,Success,2024-02-14 09:20:51.499314,1541.87
125,O00000125,UPI,Success,2024-02-15 06:47:51.660616,1423.47
126,O00000126,Debit Card,Success,2025-02-06 01:41:54.354461,840.44
127,O00000127,COD,Success,2024-07-20 12:13:32.633098,321.85
128,O00000128,Credit Card,Success,2024-04-09 04:02:12.596676,39.0
129,O00000129,UPI,Success,2024-06-30 08:44:34.266928,587.55
130,O00000130,Credit Card,Success,2024-03-02 06:39:44.789216,390.56
131,O00000131,Credit Card,Success,2025-01-24 23:40:39.156863,36.54
132,O00000132,UPI,Success,2024-08-07 02:06:55.956474,183.58
133,O00000133,UPI,Success,2025-09-07 02:02:22.823858,71.59
134,O00000134,UPI,Success,2024-09-04 21:45:09.765156,35.22
135,O00000135,Credit Card,Success,2025-06-29 17:20:42.016474,359.64
136,O00000136,UPI,Success,2025-04-08 06:23:39.039346,327.99
137,O00000137,Debit Card,Success,2024-01-14 16:33:32.407789,192.38
138,O00000138,UPI,Success,2024-02-19 09:00:47.923743,2154.33
139,O00000139,Debit Card,Success,2025-01-11 11:59:26.507808,1245.6
140,O00000140,Debit Card,Success,2024-10-01 22:43:05.189053,122.6
141,O00000141,UPI,Failed,2025-08-23 21:49:22.804713,515.89
142,O00000142,UPI,Failed,2024-10-26 11:58:46.017726,781.14
143,O00000143,UPI,Success,2024-09-26 05:31:38.790252,1097.97
144,O00000144,Debit Card,Success,2024-01-20 03:17:16.917912,71.52
145,O00000145,Credit Card,Success,2024-01-23 13:43:49.368213,271.52
146,O00000146,Debit Card,Success,2024-12-16 10:58:18.613487,654.76
147,O00000147,UPI,Success,2024-07-22 19:20:23.876499,1854.44
148,O00000148,Credit Card,Success,2025-10-04 13:07:51.517612,675.09
149,O00000149,UPI,Success,2025-06-06 03:03:19.314449,373.82
150,O00000150,Debit Card,Success,2024-10-06 07:19:42.875460,266.04
151,O00000151,Credit Card,Success,2025-01-27 10:27:36.512884,324.71
152,O00000152,UPI,Success,2024-02-26 07:38:04.140492,1129.34
153,O00000153,UPI,Success,2025-11-12 10:40:18.301029,186.2
154,O00000154,UPI,Success,2025-07-06 19:12:05.026992,26.49
155,O00000155,UPI,Success,2025-02-25 08:56:55.141299,142.27
156,O00000156,Credit Card,Success,2024-07-08 17:50:05.311796,32.48
157,O00000157,UPI,Success,2025-05-23 09:17:50.228831,698.45
158,O00000158,Debit Card,Success,2025-10-25 14:12:57.652615,404.45
159,O00000159,Credit Card,Success,2024-04-29 18:06:32.861189,387.23
160,O00000160,UPI,Success,2024-04-18 06:37:43.675708,105.34
161,O00000161,Debit Card,Success,2025-01-14 03:08:04.527330,351.66
162,O00000162,Debit Card,Success,2025-10-16 07:22:38.458007,4995.83
163,O00000163,UPI,Success,2024-03-05 12:31:11.387921,443.54
164,O00000164,UPI,Success,2025-02-19 00:49:44.804192,415.45
165,O00000165,UPI,Success,2025-05-20 10:53:25.924977,1109.33
166,O00000166,Credit Card,Success,2024-08-30 08:24:27.386072,184.12
167,O00000167,UPI,Success,2024-11-26 04:56:17.276753,96.97
168,O00000168,Credit Card,Success,2024-11-27 13:50:23.549677,49.91
169,O00000169,COD,Success,2025-01-01 16:28:01.864817,462.02
170,O00000170,Credit Card,Success,2025-03-25 17:08:46.064286,811.41
171,O00000171,UPI,Success,2024-02-03 11:38:21.289237,31.72
172,O00000172,Credit Card,Success,2025-01-30 17:01:47.074161,150.83
173,O00000173,UPI,Success,2024-11-30 20:00:25.876851,906.18
174,O00000174,UPI,Failed,2025-07-04 12:06:47.946142,1043.9
175,O00000175,UPI,Success,2024-03-12 13:02:05.206064,694.46
176,O00000176,UPI,Success,2024-01-23 01:09:25.781580,566.87
177,O00000177,UPI,Success,2024-01-18 21:26:02.047575,675.6
178,O00000178,UPI,Success,2025-02-14 21:43:52.685555,215.91
179,O00000179,Debit Card,Success,2025-06-06 19:26:08.016329,781.28
180,O00000180,Debit Card,Success,2024-07-28 09:55:37.538184,802.3
181,O00000181,Debit Card,Failed,2024-06-19 02:55:31.373731,38.58
182,O00000182,UPI,Success,2024-02-11 07:14:39.948315,246.7
183,O00000183,COD,Success,2024-09-18 07:05:11.099963,372.58
184,O00000184,Credit Card,Success,2024-02-19 16:32:39.497201,125.02
185,O00000185,Credit Card,Success,2025-02-22 15:44:09.887674,394.93
186,O00000186,UPI,Success,2025-09-14 08:19:42.311675,29.41
187,O00000187,Debit Card,Success,2024-11-02 17:28:08.643813,534.92
188,O00000188,UPI,Success,2024-10-31 21:22:12.666763,52.77
189,O00000189,UPI,Success,2025-01-14 13:28:03.543675,1184.86
190,O00000190,Credit Card,Success,2024-04-28 11:18:24.820649,333.28
191,O00000191,Credit Card,Success,2024-03-07 16:29:49.209247,1345.24
192,O00000192,Credit Card,Failed,2024-07-15 21:15:49.490699,173.94
193,O00000193,Debit Card,Success,2024-11-25 02:58:55.690334,1248.13
194,O00000194,Credit Card,Success,2025-08-02 13:03:52.165999,26.54
195,O00000195,COD,Success,2024-06-11 01:47:22.570775,567.18
196,O00000196,Credit Card,Failed,2025-04-27 10:49:33.806571,35.46
197,O00000197,UPI,Success,2024-09-26 19:02:30.040816,26.54
198,O00000198,UPI,Success,2025-07-07 17:25:24.313252,409.49
199,O00000199,Debit Card,Success,2024-03-01 06:18:35.821381,897.79
200,O00000200,UPI,Success,2025-04-09 05:34:34.122239,26.74
201,O00000201,UPI,Success,2025-02-05 08:10:31.857096,72.87
202,O00000202,UPI,Success,2024-10-12 23:28:38.308901,80.56
203,O00000203,UPI,Success,2024-10-05 15:26:09.753855,232.98
204,O00000204,UPI,Pending,2025-05-11 07:09:02.676475,3590.85
205,O00000205,Credit Card,Success,2024-10-21 10:46:15.996590,98.6
206,O00000206,Credit Card,Success,2024-11-21 02:03:30.657890,4116.65
207,O00000207,Debit Card,Success,2024-03-13 01:42:11.090716,173.81
208,O00000208,COD,Success,2024-09-01 09:20:10.544898,119.52
209,O00000209,Debit Card,Success,2025-08-28 23:57:00.054556,345.35
210,O00000210,Credit Card,Success,2024-11-18 06:35:19.876357,881.99
211,O00000211,UPI,Success,2025-10-24 15:22:59.322880,124.95
212,O00000212,Credit Card,Success,2025-10-23 01:33:57.896543,504.42
213,O00000213,COD,Failed,2024-11-10 06:27:11.524973,1205.79
214,O00000214,COD,Success,2025-01-19 10:35:14.776089,156.98
215,O00000215,Credit Card,Success,2024-04-07 02:07:57.230840,430.41
216,O00000216,UPI,Success,2024-03-23 20:27:57.345818,195.45
217,O00000217,Credit Card,Success,2024-12-30 20:50:37.195770,1459.03
218,O00000218,Debit Card,Success,2025-07-01 10:32:16.185449,191.54
219,O00000219,UPI,Success,2025-10-15 17:17:30.670581,1826.06
220,O00000220,UPI,Pending,2024-11-28 01:36:41.438159,5220.21
221,O00000221,UPI,Success,2025-01-09 20:08:41.115625,1221.05
222,O00000222,Debit Card,Success,2024-08-11 15:16:40.263606,119.3
223,O00000223,Credit Card,Success,2024-08-03 01:45:57.007488,151.5
224,O00000224,UPI,Pending,2025-11-09 04:01:36.297999,160.9
225,O00000225,Credit Card,Success,2024-02-28 05:44:17.956970,20.93
226,O00000226,UPI,Success,2025-04-07 10:31:47.540350,428.1
227,O00000227,Credit Card,Success,2024-02-02 18:02:34.227801,119.12
228,O00000228,Credit Card,Success,2024-04-25 10:16:32.133515,132.71
229,O00000229,Debit Card,Success,2025-09-28 17:53:31.553800,96.44
230,O00000230,UPI,Success,2024-06-17 05:53:15.131192,73.31
231,O00000231,Credit Card,Success,2025-04-27 07:38:27.772856,369.79
232,O00000232,COD,Success,2024-11-18 23:17:17.004174,120.02
233,O00000233,Debit Card,Success,2025-09-14 01:58:57.439020,370.71
234,O00000234,UPI,Success,2024-12-22 03:35:09.469972,122.01
235,O00000235,Debit Card,Success,2024-12-29 01:14:39.942264,38.82
236,O00000236,UPI,Success,2024-03-19 13:59:09.745666,5.35
237,O00000237,Credit Card,Success,2024-12-14 18:29:54.988580,923.63
238,O00000238,UPI,Success,2024-03-01 01:25:55.388572,17.65
239,O00000239,UPI,Success,2025-10-10 06:47:49.340977,74.06
240,O00000240,UPI,Success,2024-05-31 14:25:38.381596,1145.95
241,O00000241,Credit Card,Success,2025-09-01 02:26:51.177241,226.31
242,O00000242,Debit Card,Success,2024-04-20 10:29:55.115983,446.69
243,O00000243,UPI,Success,2024-05-26 06:46:52.162739,62.47
244,O00000244,UPI,Success,2025-02-26 16:58:54.896086,183.45
245,O00000245,Credit Card,Success,2025-11-14 04:08:47.724560,92.24
246,O00000246,UPI,Success,2024-05-18 17:34:20.747873,89.14
247,O00000247,UPI,Success,2024-03-09 19:05:55.012291,533.01
248,O00000248,UPI,Success,2024-12-01 18:10:52.066476,350.41
249,O00000249,UPI,Success,2025-06-21 15:06:28.933948,346.41
250,O00000250,UPI,Success,2025-07-11 05:19:39.487605,320.01
251,O00000251,Debit Card,Pending,2025-11-02 06:57:11.744208,1766.22
252,O00000252,Credit Card,Success,2024-08-25 05:18:39.681734,1073.36
253,O00000253,Debit Card,Success,2024-10-15 09:51:19.568107,725.28
254,O00000254,Credit Card,Success,2024-09-17 07:01:27.298982,266.98
255,O00000255,UPI,Success,2024-05-22 13:11:39.561345,1042.0
256,O00000256,Credit Card,Success,2024-06-24 10:25:24.882341,360.78
257,O00000257,UPI,Success,2025-04-28 04:32:54.496151,396.9
258,O00000258,UPI,Success,2025-01-25 23:22:15.042976,759.4
259,O00000259,UPI,Success,2025-09-26 08:34:09.263458,134.2
260,O00000260,UPI,Success,2024-06-20 01:11:06.757346,83.16
261,O00000261,UPI,Success,2025-04-25 17:21:37.006186,1144.05
262,O00000262,COD,Success,2024-05-20 11:10:03.780732,538.63
263,O00000263,UPI,Failed,2024-10-12 18:34:35.371888,20.77
264,O00000264,UPI,Success,2024-11-06 06:59:56.798876,1988.26
265,O00000265,UPI,Success,2024-04-25 17:18:19.603179,43.46
266,O00000266,COD,Success,2024-03-10 17:29:05.690910,272.57
267,O00000267,Credit Card,Success,2024-05-18 05:28:19.348324,509.86
268,O00000268,Debit Card,Success,2025-08-08 20:06:22.924841,82.0
269,O00000269,Debit Card,Success,2024-09-27 09:41:53.315951,205.38
270,O00000270,Credit Card,Success,2024-02-12 07:22:55.927523,846.61
271,O00000271,UPI,Success,2024-06-02 06:24:54.842962,357.98
272,O00000272,Credit Card,Success,2024-05-04 18:13:24.226993,3930.26
273,O00000273,COD,Success,2025-03-04 11:30:54.409457,163.08
274,O00000274,UPI,Success,2024-05-26 21:55:33.666370,465.6
275,O00000275,Credit Card,Success,2025-02-15 09:15:26.898004,79.34
276,O00000276,Credit Card,Success,2024-12-03 19:15:17.341790,920.84
277,O00000277,Credit Card,Success,2024-04-28 00:11:33.172616,782.18
278,O00000278,UPI,Success,2025-02-08 11:24:57.434534,2295.05
279,O00000279,Credit Card,Success,2024-01-01 11:57:33.797627,2210.19
280,O00000280,COD,Success,2025-09-28 05:21:19.759000,21.18
281,O00000281,COD,Success,2024-06-19 15:04:04.635734,1032.53
282,O00000282,Credit Card,Success,2025-03-30 09:27:10.384661,2094.36
283,O00000283,UPI,Success,2025-10-14 20:49:42.088161,390.19
284,O00000284,Credit Card,Success,2025-08-31 06:16:54.962571,2650.12
285,O00000285,COD,Success,2025-01-23 03:37:27.581446,258.51
286,O00000286,Credit Card,Success,2025-01-09 21:46:15.203316,1831.44
287,O00000287,UPI,Success,2024-06-11 23:32:04.856345,67.27
288,O00000288,Credit Card,Success,2024-05-14 05:20:00.353858,215.49
289,O00000289,Credit Card,Failed,2024-02-15 06:52:03.043626,3917.14
290,O00000290,Credit Card,Success,2024-02-24 06:21:57.163118,199.8
291,O00000291,UPI,Success,2024-02-03 21:46:23.936079,778.39
292,O00000292,UPI,Success,2025-02-18 11:03:31.322790,581.24
293,O00000293,UPI,Success,2024-10-17 10:24:52.434241,252.47
294,O00000294,Credit Card,Success,2024-04-16 09:00:28.625664,827.12
295,O00000295,Credit Card,Success,2025-09-01 14:50:40.941656,2337.85
296,O00000296,Debit Card,Success,2025-04-04 21:31:50.021567,200.12
297,O00000297,UPI,Success,2025-05-27 19:08:24.969888,1615.94
298,O00000298,Debit Card,Success,2024-02-28 07:44:10.886509,346.68
299,O00000299,Debit Card,Success,2025-02-01 01:01:58.571868,101.71
300,O00000300,Credit Card,Pending,2025-04-15 23:36:29.482907,23.54
301,O00000301,UPI,Success,2025-08-31 22:36:07.857547,1522.12
302,O00000302,Debit Card,Success,2025-10-08 22:23:41.346843,394.71
303,O00000303,Debit Card,Success,2025-01-13 21:14:13.966413,173.9
304,O00000304,Credit Card,Pending,2024-03-14 23:33:55.164854,445.99
305,O00000305,COD,Success,2025-10-05 09:36:29.964495,292.26
306,O00000306,UPI,Success,2025-06-24 10:48:15.231238,756.87
307,O00000307,Credit Card,Success,2025-06-02 21:54:23.060003,2204.17
308,O00000308,Credit Card,Success,2024-10-03 06:06:54.061157,3.57
309,O00000309,UPI,Success,2024-11-29 09:58:23.141336,837.81
310,O00000310,UPI,Success,2024-07-24 16:39:18.877618,242.47
311,O00000311,Credit Card,Failed,2025-03-10 21:36:51.111467,1175.69
312,O00000312,Credit Card,Success,2024-03-16 19:12:47.120510,1113.78
313,O00000313,UPI,Success,2024-07-04 07:10:05.894885,313.65
314,O00000314,Debit Card,Success,2025-02-19 10:52:14.823627,54.83
315,O00000315,UPI,Success,2024-08-22 05:42:13.210013,633.59
316,O00000316,UPI,Success,2025-03-02 14:12:49.062649,2460.43
317,O00000317,UPI,Success,2025-08-05 18:58:10.733488,42.36
318,O00000318,Credit Card,Success,2024-11-09 14:59:49.490772,180.25
319,O00000319,COD,Failed,2025-08-08 19:27:15.481970,366.84
320,O00000320,UPI,Success,2024-05-31 06:24:45.957767,438.46
321,O00000321,COD,Success,2024-05-22 03:31:56.062081,160.19
322,O00000322,COD,Success,2024-10-31 17:20:35.497031,133.04
323,O00000323,COD,Success,2025-04-09 18:47:16.792391,917.02
324,O00000324,Credit Card,Success,2025-01-10 20:14:34.325192,104.55
325,O00000325,Credit Card,Success,2024-05-29 15:50:18.961576,9.1
326,O00000326,Credit Card,Success,2024-04-22 21:53:27.238155,543.39
327,O00000327,COD,Success,2024-10-04 15:27:39.002397,113.45
328,O00000328,UPI,Success,2025-01-12 00:14:34.470736,45.67
329,O00000329,Credit Card,Success,2024-10-01 23:50:56.448820,1594.59
330,O00000330,UPI,Success,2024-03-24 03:40:15.159121,145.17
331,O00000331,Debit Card,Success,2025-01-28 16:26:38.396076,238.04
332,O00000332,Credit Card,Success,2025-09-09 15:29:48.520681,271.18
333,O00000333,UPI,Success,2024-07-11 04:32:52.991540,65.0
334,O00000334,Debit Card,Success,2024-03-21 12:07:18.478262,119.1
335,O00000335,UPI,Success,2024-02-13 17:56:53.871575,177.48
336,O00000336,Debit Card,Success,2024-09-23 03:25:03.314975,243.35
337,O00000337,UPI,Success,2025-06-21 13:01:19.724351,264.65
338,O00000338,UPI,Success,2024-01-07 13:53:40.563450,377.51
339,O00000339,Credit Card,Success,2025-08-05 09:06:58.086145,26.76
340,O00000340,UPI,Success,2025-01-02 16:38:18.702432,369.28
341,O00000341,UPI,Success,2024-05-02 21:04:47.163322,1539.96
342,O00000342,Debit Card,Success,2025-04-30 03:08:30.564543,1656.18
343,O00000343,UPI,Success,2024-04-25 05:29:32.127810,25.58
344,O00000344,UPI,Success,2024-09-28 03:12:29.591246,142.17
345,O00000345,Credit Card,Success,2024-10-15 23:01:22.972219,638.51
346,O00000346,UPI,Success,2025-09-04 19:28:33.197442,741.03
347,O00000347,UPI,Success,2024-11-19 03:48:25.425082,131.88
348,O00000348,Debit Card,Success,2024-08-14 17:40:39.588645,629.79
349,O00000349,UPI,Success,2024-08-07 15:17:23.955486,1242.87
350,O00000350,UPI,Success,2024-12-11 05:35:31.985511,73.64
351,O00000351,Debit Card,Success,2025-06-21 03:12:23.779078,121.87
352,O00000352,Debit Card,Success,2025-02-05 04:27:37.373220,237.79
353,O00000353,UPI,Success,2024-10-09 03:32:42.057133,373.43
354,O00000354,Debit Card,Success,2024-01-02 21:45:49.687043,97.47
355,O00000355,COD,Success,2025-06-20 06:19:16.415719,31.43
356,O00000356,Debit Card,Pending,2025-05-19 23:04:33.823550,1407.61
357,O00000357,Credit Card,Success,2024-05-20 13:42:41.302382,1315.5
358,O00000358,Debit Card,Success,2024-10-24 09:29:50.549214,702.9
359,O00000359,UPI,Success,2025-10-04 07:22:59.960758,45.07
360,O00000360,Credit Card,Success,2024-06-21 09:18:40.012560,382.77
361,O00000361,UPI,Success,2024-05-28 22:05:23.214461,654.1
362,O00000362,COD,Success,2025-06-06 18:28:40.285958,1932.49
363,O00000363,Debit Card,Success,2025-10-27 22:28:04.594728,39.34
364,O00000364,Debit Card,Success,2025-05-14 21:50:44.619037,30.66
365,O00000365,COD,Success,2024-04-24 03:40:00.995773,1714.38
366,O00000366,UPI,Success,2024-05-11 22:35:57.358364,125.92
367,O00000367,UPI,Success,2025-02-08 21:58:23.557865,192.22
368,O00000368,Debit Card,Success,2025-02-18 19:32:55.164696,680.04
369,O00000369,UPI,Success,2025-09-28 10:48:06.047478,338.49
370,O00000370,Credit Card,Success,2024-03-04 18:47:11.879254,3716.4
371,O00000371,Debit Card,Success,2025-07-28 08:52:31.422065,387.71
372,O00000372,Debit Card,Success,2024-09-09 14:41:20.602418,58.53
373,O00000373,UPI,Success,2025-08-30 22:05:12.271067,1774.66
374,O00000374,UPI,Success,2025-11-06 18:08:11.505564,1896.22
375,O00000375,UPI,Success,2025-08-11 02:24:08.926123,65.31
376,O00000376,Credit Card,Success,2024-12-02 10:40:33.021038,758.64
377,O00000377,UPI,Success,2024-02-26 09:21:54.294365,99.68
378,O00000378,Credit Card,Success,2025-10-13 17:06:45.811309,178.31
379,O00000379,COD,Success,2024-04-11 04:23:05.725585,407.14
380,O00000380,UPI,Success,2024-10-09 04:08:02.129568,2688.09
381,O00000381,UPI,Success,2024-09-15 01:07:35.767869,1440.77
382,O00000382,UPI,Success,2025-02-24 08:15:28.117583,240.66
383,O00000383,Debit Card,Failed,2024-09-25 04:05:33.961485,1333.52
384,O00000384,UPI,Success,2024-07-11 19:20:09.827520,35.56
385,O00000385,UPI,Success,2024-09-17 19:06:30.055090,369.96
386,O00000386,Credit Card,Success,2024-05-02 23:49:04.653852,323.14
387,O00000387,Debit Card,Success,2025-07-11 11:13:07.742990,742.73
388,O00000388,UPI,Success,2024-08-21 01:45:14.172895,282.68
389,O00000389,Credit Card,Success,2024-10-14 04:10:15.049096,1907.1
390,O00000390,Credit Card,Success,2025-07-17 14:24:24.940215,5.35
391,O00000391,COD,Success,2024-03-17 07:53:43.138308,1145.97
392,O00000392,Credit Card,Success,2025-02-19 06:10:55.197373,361.37
393,O00000393,UPI,Success,2024-12-09 09:17:19.976363,1043.24
394,O00000394,UPI,Success,2025-10-04 11:20:50.682527,637.38
395,O00000395,UPI,Success,2024-01-25 01:07:26.467538,1508.35
396,O00000396,UPI,Success,2025-07-14 22:24:05.318377,1706.08
