shipping_id,order_id,shipping_date,delivery_date,delivery_status,delivery_days
64,O00000064,2025-09-09 08:53:29.710215,2025-09-13 08:53:29.710215,Delivered,4
65,O00000065,2025-08-11 14:12:56.631464,2025-08-16 14:12:56.631464,Delivered,5
66,O00000066,2025-02-26 21:30:03.711572,2025-03-04 21:30:03.711572,Delivered,6
67,O00000067,2024-04-07 15:52:23.904834,2024-04-09 15:52:23.904834,Delivered,2
68,O00000068,2024-02-12 22:08:32.431325,2024-02-14 22:08:32.431325,Delivered,2
69,O00000069,2025-03-23 23:03:28.498989,2025-03-28 23:03:28.498989,Delivered,5
70,O00000070,2024-08-29 20:23:05.791273,2024-08-31 20:23:05.791273,Delivered,2
71,O00000071,2025-05-27 23:44:41.739837,2025-06-01 23:44:41.739837,Delivered,5
72,O00000072,2024-03-14 13:49:45.348773,2024-03-18 13:49:45.348773,Delivered,4
73,O00000073,2025-01-20 01:09:42.840753,2025-01-22 01:09:42.840753,Delivered,2
74,O00000074,2024-10-12 10:10:23.025728,2024-10-14 10:10:23.025728,Delivered,2
75,O00000075,2025-04-15 15:40:35.089192,2025-04-21 15:40:35.089192,Delivered,6
76,O00000076,2025-08-17 00:34:10.086751,2025-08-20 00:34:10.086751,Delivered,3
77,O00000077,2025-01-01 15:25:19.808395,2025-01-04 15:25:19.808395,Delayed,3
78,O00000078,2025-04-01 20:24:31.152145,2025-04-04 20:24:31.152145,Delivered,3
79,O00000079,2025-06-22 13:36:12.193737,2025-06-27 13:36:12.193737,Delivered,5
80,O00000080,2025-05-13 17:07:08.645210,2025-05-15 17:07:08.645210,Delayed,2
81,O00000081,2024-04-20 23:38:20.300092,2024-04-26 23:38:20.300092,Delivered,6
82,O00000082,2024-07-19 14:13:08.769714,2024-07-21 14:13:08.769714,Delivered,2
83,O00000083,2024-10-11 03:29:56.568315,2024-10-14 03:29:56.568315,Delivered,3
84,O00000084,2025-05-30 01:07:55.910744,2025-06-05 01:07:55.910744,Delayed,6
85,O00000085,2024-12-11 13:32:48.943111,2024-12-13 13:32:48.943111,Delivered,2
86,O00000086,2025-04-15 17:21:35.501991,2025-04-17 17:21:35.501991,Delivered,2
87,O00000087,2025-10-08 21:05:06.628040,2025-10-10 21:05:06.628040,Delivered,2
88,O00000088,2024-12-27 04:21:18.902963,2024-12-31 04:21:18.902963,Delivered,4
89,O00000089,2025-06-16 16:01:43.601855,2025-06-21 16:01:43.601855,Delivered,5
90,O00000090,2025-09-15 09:02:15.898009,2025-09-20 09:02:15.898009,Delayed,5
91,O00000091,2024-01-24 19:27:57.908912,2024-01-27 19:27:57.908912,Delivered,3
92,O00000092,2025-11-06 21:48:45.912756,2025-11-12 21:48:45.912756,Delivered,6
93,O00000093,2024-04-15 04:02:02.471458,2024-04-19 04:02:02.471458,Delivered,4
94,O00000094,2025-05-03 01:53:35.294861,2025-05-07 01:53:35.294861,Delivered,4
95,O00000095,2025-10-25 13:48:18.644697,2025-10-31 13:48:18.644697,Delivered,6
96,O00000096,2024-07-30 13:12:40.750905,2024-08-01 13:12:40.750905,Delivered,2
97,O00000097,2024-12-01 11:23:36.772097,2024-12-05 11:23:36.772097,Delivered,4
98,O00000098,2024-10-07 16:57:56.200074,2024-10-11 16:57:56.200074,Delayed,4
99,O00000099,2025-06-05 06:26:34.186138,2025-06-09 06:26:34.186138,Delivered,4
100,O00000100,2025-01-29 04:41:33.881335,2025-02-02 04:41:33.881335,Delayed,4
101,O00000101,2024-08-03 03:02:37.609226,2024-08-06 03:02:37.609226,Delivered,3
102,O00000102,2024-08-14 10:45:05.387227,2024-08-16 10:45:05.387227,Delivered,2
103,O00000103,2024-11-09 16:45:07.140379,2024-11-14 16:45:07.140379,Delivered,5
104,O00000104,2025-01-24 05:17:17.549772,2025-01-26 05:17:17.549772,Delivered,2
105,O00000105,2024-08-15 17:59:52.580136,2024-08-20 17:59:52.580136,Delivered,5
106,O00000106,2025-11-13 14:11:17.170135,2025-11-16 14:11:17.170135,Delivered,3
107,O00000107,2024-09-13 20:08:42.840796,2024-09-18 20:08:42.840796,Delivered,5
108,O00000108,2025-08-02 08:45:48.742449,2025-08-04 08:45:48.742449,Delivered,2
109,O00000109,2025-03-23 00:18:41.952477,2025-03-28 00:18:41.952477,Delivered,5
110,O00000110,2024-08-23 06:06:04.504958,2024-08-29 06:06:04.504958,Delivered,6
111,O00000111,2024-01-11 18:41:50.198698,2024-01-14 18:41:50.198698,Delivered,3
112,O00000112,2024-12-18 09:01:04.736779,2024-12-20 09:01:04.736779,Delivered,2
113,O00000113,2024-12-01 03:52:58.423074,2024-12-06 03:52:58.423074,Delivered,5
114,O00000114,2025-03-27 17:33:55.397021,2025-04-02 17:33:55.397021,Delivered,6
115,O00000115,2024-11-29 12:07:51.468105,2024-12-03 12:07:51.468105,Delivered,4
116,O00000116,2024-03-02 05:18:07.036596,2024-03-06 05:18:07.036596,Delayed,4
117,O00000117,2024-11-14 00:43:01.827134,2024-11-20 00:43:01.827134,Delivered,6
118,O00000118,2024-09-27 09:42:37.580130,2024-10-02 09:42:37.580130,Delayed,5
119,O00000119,2025-06-27 12:56:53.237744,2025-07-02 12:56:53.237744,Delivered,5
120,O00000120,2024-10-24 06:33:46.384791,2024-10-28 06:33:46.384791,Delayed,4
121,O00000121,2025-05-27 22:08:43.503048,2025-05-31 22:08:43.503048,Delivered,4
122,O00000122,2024-03-11 20:18:10.663939,2024-03-13 20:18:10.663939,Delivered,2
123,O00000123,2025-03-25 22:46:09.391960,2025-03-29 22:46:09.391960,Delivered,4
124,O00000124,2024-02-15 08:42:51.499314,2024-02-21 08:42:51.499314,Delivered,6
125,O00000125,2024-02-17 06:08:51.660616,2024-02-21 06:08:51.660616,Delivered,4
126,O00000126,2025-02-08 00:47:54.354461,2025-02-10 00:47:54.354461,Delivered,2
127,O00000127,2024-07-21 12:02:32.633098,2024-07-27 12:02:32.633098,Delivered,6
128,O00000128,2024-04-10 03:14:12.596676,2024-04-15 03:14:12.596676,Delayed,5
129,O00000129,2024-07-02 07:50:34.266928,2024-07-06 07:50:34.266928,Delivered,4
130,O00000130,2024-03-04 06:21:44.789216,2024-03-08 06:21:44.789216,Delivered,4
131,O00000131,2025-01-25 23:34:39.156863,2025-01-27 23:34:39.156863,Delivered,2
132,O00000132,2024-08-09 01:26:55.956474,2024-08-11 01:26:55.956474,Delivered,2
133,O00000133,2025-09-09 02:01:22.823858,2025-09-11 02:01:22.823858,Delivered,2
134,O00000134,2024-09-06 21:21:09.765156,2024-09-08 21:21:09.765156,Delivered,2
135,O00000135,2025-07-01 16:37:42.016474,2025-07-05 16:37:42.016474,Delivered,4
136,O00000136,2025-04-09 05:33:39.039346,2025-04-12 05:33:39.039346,Delivered,3
137,O00000137,2024-01-16 15:42:32.407789,2024-01-22 15:42:32.407789,Delivered,6
138,O00000138,2024-02-20 08:03:47.923743,2024-02-26 08:03:47.923743,Delivered,6
139,O00000139,2025-01-12 11:27:26.507808,2025-01-15 11:27:26.507808,Delivered,3
140,O00000140,2024-10-02 22:36:05.189053,2024-10-04 22:36:05.189053,Delivered,2
141,O00000141,2025-08-25 20:54:22.804713,2025-08-27 20:54:22.804713,Delivered,2
142,O00000142,2024-10-28 11:57:46.017726,2024-11-02 11:57:46.017726,Delivered,5
143,O00000143,2024-09-27 05:12:38.790252,2024-09-29 05:12:38.790252,Delivered,2
144,O00000144,2024-01-21 03:08:16.917912,2024-01-25 03:08:16.917912,Delivered,4
145,O00000145,2024-01-24 13:20:49.368213,2024-01-26 13:20:49.368213,Delivered,2
146,O00000146,2024-12-17 10:45:18.613487,2024-12-20 10:45:18.613487,Delivered,3
147,O00000147,2024-07-23 18:51:23.876499,2024-07-28 18:51:23.876499,Delivered,5
148,O00000148,2025-10-05 12:24:51.517612,2025-10-08 12:24:51.517612,Delivered,3
149,O00000149,2025-06-07 02:24:19.314449,2025-06-12 02:24:19.314449,Delivered,5
150,O00000150,2024-10-08 06:51:42.875460,2024-10-14 06:51:42.875460,Delivered,6
151,O00000151,2025-01-29 10:09:36.512884,2025-02-02 10:09:36.512884,Delivered,4
152,O00000152,2024-02-27 06:41:04.140492,2024-02-29 06:41:04.140492,Delivered,2
153,O00000153,2025-11-14 10:19:18.301029,2025-11-19 10:19:18.301029,Delivered,5
154,O00000154,2025-07-08 18:48:05.026992,2025-07-13 18:48:05.026992,Delivered,5
155,O00000155,2025-02-26 08:23:55.141299,2025-03-02 08:23:55.141299,Delivered,4
156,O00000156,2024-07-10 17:17:05.311796,2024-07-15 17:17:05.311796,Delivered,5
157,O00000157,2025-05-24 08:51:50.228831,2025-05-27 08:51:50.228831,Delivered,3
158,O00000158,2025-10-26 14:07:57.652615,2025-10-29 14:07:57.652615,Delivered,3
159,O00000159,2024-05-01 17:41:32.861189,2024-05-06 17:41:32.861189,Delivered,5
160,O00000160,2024-04-20 06:28:43.675708,2024-04-23 06:28:43.675708,Delivered,3
161,O00000161,2025-01-16 02:24:04.527330,2025-01-21 02:24:04.527330,Delivered,5
162,O00000162,2025-10-17 06:33:38.458007,2025-10-22 06:33:38.458007,Delivered,5
163,O00000163,2024-03-07 12:12:11.387921,2024-03-13 12:12:11.387921,Delivered,6
164,O00000164,2025-02-20 00:05:44.804192,2025-02-25 00:05:44.804192,Delayed,5
165,O00000165,2025-05-21 10:23:25.924977,2025-05-23 10:23:25.924977,Delivered,2
166,O00000166,2024-08-31 07:55:27.386072,2024-09-06 07:55:27.386072,Delivered,6
167,O00000167,2024-11-28 03:59:17.276753,2024-12-03 03:59:17.276753,Delivered,5
168,O00000168,2024-11-28 13:40:23.549677,2024-11-30 13:40:23.549677,Delivered,2
169,O00000169,2025-01-02 16:06:01.864817,2025-01-04 16:06:01.864817,Delivered,2
170,O00000170,2025-03-27 16:57:46.064286,2025-04-01 16:57:46.064286,Delivered,5
171,O00000171,2024-02-05 11:25:21.289237,2024-02-10 11:25:21.289237,Delivered,5
172,O00000172,2025-02-01 16:25:47.074161,2025-02-03 16:25:47.074161,Delivered,2
173,O00000173,2024-12-02 19:38:25.876851,2024-12-08 19:38:25.876851,Delivered,6
174,O00000174,2025-07-05 11:36:47.946142,2025-07-09 11:36:47.946142,Delivered,4
175,O00000175,2024-03-13 12:29:05.206064,2024-03-18 12:29:05.206064,Delayed,5
176,O00000176,2024-01-25 00:47:25.781580,2024-01-30 00:47:25.781580,Delivered,5
177,O00000177,2024-01-20 21:25:02.047575,2024-01-25 21:25:02.047575,Delivered,5
178,O00000178,2025-02-15 21:03:52.685555,2025-02-21 21:03:52.685555,Delivered,6
179,O00000179,2025-06-08 18:53:08.016329,2025-06-10 18:53:08.016329,Delayed,2
180,O00000180,2024-07-29 09:42:37.538184,2024-07-31 09:42:37.538184,Delivered,2
181,O00000181,2024-06-21 01:56:31.373731,2024-06-24 01:56:31.373731,Delayed,3
182,O00000182,2024-02-13 07:01:39.948315,2024-02-18 07:01:39.948315,Delayed,5
183,O00000183,2024-09-19 06:38:11.099963,2024-09-22 06:38:11.099963,Delivered,3
184,O00000184,2024-02-21 16:26:39.497201,2024-02-25 16:26:39.497201,Delayed,4
185,O00000185,2025-02-23 14:49:09.887674,2025-02-25 14:49:09.887674,Delivered,2
186,O00000186,2025-09-16 07:45:42.311675,2025-09-21 07:45:42.311675,Delivered,5
187,O00000187,2024-11-03 16:50:08.643813,2024-11-07 16:50:08.643813,Delivered,4
188,O00000188,2024-11-02 21:12:12.666763,2024-11-05 21:12:12.666763,Delivered,3
189,O00000189,2025-01-16 13:17:03.543675,2025-01-22 13:17:03.543675,Delivered,6
190,O00000190,2024-04-29 11:06:24.820649,2024-05-02 11:06:24.820649,Delivered,3
191,O00000191,2024-03-09 15:48:49.209247,2024-03-14 15:48:49.209247,Delivered,5
192,O00000192,2024-07-16 20:29:49.490699,2024-07-19 20:29:49.490699,Delivered,3
193,O00000193,2024-11-27 02:18:55.690334,2024-12-02 02:18:55.690334,Delayed,5
194,O00000194,2025-08-03 13:02:52.165999,2025-08-08 13:02:52.165999,Delivered,5
195,O00000195,2024-06-13 01:39:22.570775,2024-06-18 01:39:22.570775,Delivered,5
196,O00000196,2025-04-28 10:05:33.806571,2025-04-30 10:05:33.806571,Delivered,2
197,O00000197,2024-09-28 19:01:30.040816,2024-10-04 19:01:30.040816,Delivered,6
198,O00000198,2025-07-09 17:14:24.313252,2025-07-14 17:14:24.313252,Delivered,5
199,O00000199,2024-03-03 05:40:35.821381,2024-03-09 05:40:35.821381,Delivered,6
200,O00000200,2025-04-10 04:47:34.122239,2025-04-14 04:47:34.122239,Delivered,4
201,O00000201,2025-02-07 07:56:31.857096,2025-02-10 07:56:31.857096,Delivered,3
202,O00000202,2024-10-14 22:49:38.308901,2024-10-19 22:49:38.308901,Delivered,5
203,O00000203,2024-10-07 14:45:09.753855,2024-10-10 14:45:09.753855,Delivered,3
204,O00000204,2025-05-13 07:07:02.676475,2025-05-15 07:07:02.676475,Delivered,2
205,O00000205,2024-10-22 09:55:15.996590,2024-10-24 09:55:15.996590,Delivered,2
206,O00000206,2024-11-23 01:44:30.657890,2024-11-27 01:44:30.657890,Delivered,4
207,O00000207,2024-03-14 00:52:11.090716,2024-03-19 00:52:11.090716,Delivered,5
208,O00000208,2024-09-02 08:23:10.544898,2024-09-05 08:23:10.544898,Delivered,3
209,O00000209,2025-08-30 23:34:00.054556,2025-09-01 23:34:00.054556,Delivered,2
210,O00000210,2024-11-19 06:29:19.876357,2024-11-22 06:29:19.876357,Delayed,3
211,O00000211,2025-10-25 15:19:59.322880,2025-10-30 15:19:59.322880,Delivered,5
212,O00000212,2025-10-25 01:27:57.896543,2025-10-31 01:27:57.896543,Delivered,6
213,O00000213,2024-11-11 05:29:11.524973,2024-11-13 05:29:11.524973,Delivered,2
214,O00000214,2025-01-21 10:28:14.776089,2025-01-26 10:28:14.776089,Delivered,5
215,O00000215,2024-04-08 01:54:57.230840,2024-04-13 01:54:57.230840,Delivered,5
216,O00000216,2024-03-24 19:57:57.345818,2024-03-28 19:57:57.345818,Delivered,4
217,O00000217,2025-01-01 20:16:37.195770,2025-01-04 20:16:37.195770,Delivered,3
218,O00000218,2025-07-03 09:45:16.185449,2025-07-06 09:45:16.185449,Delayed,3
219,O00000219,2025-10-17 16:31:30.670581,2025-10-21 16:31:30.670581,Delivered,4
220,O00000220,2024-11-29 01:25:41.438159,2024-12-05 01:25:41.438159,Delivered,6
221,O00000221,2025-01-11 20:02:41.115625,2025-01-16 20:02:41.115625,Delivered,5
222,O00000222,2024-08-13 14:58:40.263606,2024-08-15 14:58:40.263606,Delivered,2
223,O00000223,2024-08-04 01:38:57.007488,2024-08-06 01:38:57.007488,Delivered,2
224,O00000224,2025-11-11 03:05:36.297999,2025-11-13 03:05:36.297999,Delivered,2
225,O00000225,2024-02-29 05:02:17.956970,2024-03-04 05:02:17.956970,Delivered,4
226,O00000226,2025-04-09 09:43:47.540350,2025-04-11 09:43:47.540350,Delayed,2
227,O00000227,2024-02-03 17:11:34.227801,2024-02-07 17:11:34.227801,Delivered,4
228,O00000228,2024-04-27 09:38:32.133515,2024-04-30 09:38:32.133515,Delivered,3
229,O00000229,2025-09-30 17:05:31.553800,2025-10-05 17:05:31.553800,Delivered,5
230,O00000230,2024-06-19 05:45:15.131192,2024-06-22 05:45:15.131192,Delivered,3
231,O00000231,2025-04-29 07:05:27.772856,2025-05-05 07:05:27.772856,Delivered,6
232,O00000232,2024-11-20 22:51:17.004174,2024-11-25 22:51:17.004174,Delivered,5
233,O00000233,2025-09-15 01:57:57.439020,2025-09-19 01:57:57.439020,Delivered,4
234,O00000234,2024-12-23 03:21:09.469972,2024-12-26 03:21:09.469972,Delivered,3
235,O00000235,2024-12-31 00:52:39.942264,2025-01-06 00:52:39.942264,Delivered,6
236,O00000236,2024-03-20 13:36:09.745666,2024-03-23 13:36:09.745666,Delivered,3
237,O00000237,2024-12-16 18:24:54.988580,2024-12-22 18:24:54.988580,Delivered,6
238,O00000238,2024-03-03 00:28:55.388572,2024-03-05 00:28:55.388572,Delivered,2
239,O00000239,2025-10-11 06:34:49.340977,2025-10-15 06:34:49.340977,Delivered,4
240,O00000240,2024-06-01 13:33:38.381596,2024-06-04 13:33:38.381596,Delivered,3
241,O00000241,2025-09-02 01:33:51.177241,2025-09-06 01:33:51.177241,Delivered,4
242,O00000242,2024-04-21 09:31:55.115983,2024-04-23 09:31:55.115983,Delivered,2
243,O00000243,2024-05-27 06:32:52.162739,2024-06-01 06:32:52.162739,Delivered,5
244,O00000244,2025-02-27 16:05:54.896086,2025-03-03 16:05:54.896086,Delivered,4
245,O00000245,2025-11-15 03:22:47.724560,2025-11-20 03:22:47.724560,Delivered,5
246,O00000246,2024-05-19 17:11:20.747873,2024-05-22 17:11:20.747873,Delivered,3
247,O00000247,2024-03-11 18:55:55.012291,2024-03-17 18:55:55.012291,Delivered,6
248,O00000248,2024-12-02 17:11:52.066476,2024-12-08 17:11:52.066476,Delivered,6
249,O00000249,2025-06-23 14:34:28.933948,2025-06-28 14:34:28.933948,Delivered,5
250,O00000250,2025-07-12 05:17:39.487605,2025-07-17 05:17:39.487605,Delivered,5
251,O00000251,2025-11-03 06:27:11.744208,2025-11-06 06:27:11.744208,Delivered,3
252,O00000252,2024-08-26 04:23:39.681734,2024-08-28 04:23:39.681734,Delivered,2
253,O00000253,2024-10-16 08:56:19.568107,2024-10-20 08:56:19.568107,Delivered,4
254,O00000254,2024-09-19 06:59:27.298982,2024-09-25 06:59:27.298982,Delivered,6
255,O00000255,2024-05-24 12:28:39.561345,2024-05-30 12:28:39.561345,Delivered,6
256,O00000256,2024-06-25 09:55:24.882341,2024-06-27 09:55:24.882341,Delivered,2
257,O00000257,2025-04-30 04:17:54.496151,2025-05-02 04:17:54.496151,Delivered,2
258,O00000258,2025-01-27 22:52:15.042976,2025-02-01 22:52:15.042976,Delivered,5
259,O00000259,2025-09-28 08:09:09.263458,2025-10-01 08:09:09.263458,Delayed,3
260,O00000260,2024-06-21 01:10:06.757346,2024-06-27 01:10:06.757346,Delivered,6
261,O00000261,2025-04-26 16:35:37.006186,2025-05-02 16:35:37.006186,Delayed,6
262,O00000262,2024-05-22 10:32:03.780732,2024-05-24 10:32:03.780732,Delivered,2
263,O00000263,2024-10-14 17:40:35.371888,2024-10-16 17:40:35.371888,Delivered,2
264,O00000264,2024-11-08 06:18:56.798876,2024-11-10 06:18:56.798876,Delivered,2
265,O00000265,2024-04-27 16:31:19.603179,2024-05-01 16:31:19.603179,Delivered,4
266,O00000266,2024-03-11 16:51:05.690910,2024-03-14 16:51:05.690910,Delivered,3
267,O00000267,2024-05-19 05:17:19.348324,2024-05-23 05:17:19.348324,Delivered,4
268,O00000268,2025-08-10 19:26:22.924841,2025-08-14 19:26:22.924841,Delivered,4
269,O00000269,2024-09-28 08:51:53.315951,2024-10-01 08:51:53.315951,Delivered,3
270,O00000270,2024-02-13 06:57:55.927523,2024-02-18 06:57:55.927523,Delivered,5
271,O00000271,2024-06-03 05:34:54.842962,2024-06-07 05:34:54.842962,Delivered,4
272,O00000272,2024-05-06 17:33:24.226993,2024-05-09 17:33:24.226993,Delivered,3
273,O00000273,2025-03-05 11:21:54.409457,2025-03-09 11:21:54.409457,Delivered,4
274,O00000274,2024-05-28 21:25:33.666370,2024-06-02 21:25:33.666370,Delivered,5
275,O00000275,2025-02-17 08:45:26.898004,2025-02-19 08:45:26.898004,Delayed,2
276,O00000276,2024-12-04 18:58:17.341790,2024-12-06 18:58:17.341790,Delayed,2
277,O00000277,2024-04-28 23:42:33.172616,2024-05-02 23:42:33.172616,Delivered,4
278,O00000278,2025-02-09 11:16:57.434534,2025-02-14 11:16:57.434534,Delivered,5
279,O00000279,2024-01-02 11:30:33.797627,2024-01-05 11:30:33.797627,Delivered,3
280,O00000280,2025-09-29 04:56:19.759000,2025-10-03 04:56:19.759000,Delivered,4
281,O00000281,2024-06-20 14:32:04.635734,2024-06-25 14:32:04.635734,Delivered,5
282,O00000282,2025-04-01 09:02:10.384661,2025-04-04 09:02:10.384661,Delayed,3
283,O00000283,2025-10-16 20:06:42.088161,2025-10-22 20:06:42.088161,Delivered,6
284,O00000284,2025-09-02 05:39:54.962571,2025-09-06 05:39:54.962571,Delivered,4
285,O00000285,2025-01-25 03:08:27.581446,2025-01-31 03:08:27.581446,Delivered,6
286,O00000286,2025-01-10 21:37:15.203316,2025-01-16 21:37:15.203316,Delivered,6
287,O00000287,2024-06-12 22:58:04.856345,2024-06-18 22:58:04.856345,Delivered,6
288,O00000288,2024-05-16 05:08:00.353858,2024-05-20 05:08:00.353858,Delivered,4
289,O00000289,2024-02-16 06:42:03.043626,2024-02-22 06:42:03.043626,Delivered,6
290,O00000290,2024-02-25 05:23:57.163118,2024-02-28 05:23:57.163118,Delivered,3
291,O00000291,2024-02-04 20:54:23.936079,2024-02-07 20:54:23.936079,Delivered,3
292,O00000292,2025-02-20 10:35:31.322790,2025-02-22 10:35:31.322790,Delivered,2
293,O00000293,2024-10-19 10:10:52.434241,2024-10-21 10:10:52.434241,Delivered,2
294,O00000294,2024-04-18 08:03:28.625664,2024-04-24 08:03:28.625664,Delivered,6
295,O00000295,2025-09-03 13:59:40.941656,2025-09-07 13:59:40.941656,Delivered,4
296,O00000296,2025-04-05 21:00:50.021567,2025-04-09 21:00:50.021567,Delivered,4
297,O00000297,2025-05-28 19:00:24.969888,2025-06-01 19:00:24.969888,Delivered,4
298,O00000298,2024-03-01 07:20:10.886509,2024-03-07 07:20:10.886509,Delivered,6
299,O00000299,2025-02-03 00:23:58.571868,2025-02-08 00:23:58.571868,Delivered,5
300,O00000300,2025-04-17 23:27:29.482907,2025-04-23 23:27:29.482907,Delivered,6
301,O00000301,2025-09-01 22:26:07.857547,2025-09-06 22:26:07.857547,Delivered,5
302,O00000302,2025-10-09 21:51:41.346843,2025-10-15 21:51:41.346843,Delayed,6
