product_id,avg_rating,total_reviews
P000292,4.0,4
P000293,3.36,14
P000294,3.56,9
P000295,4.25,4
P000296,3.78,9
P000297,3.67,6
P000298,3.5,2
P000299,4.12,8
P000300,3.0,7
P000301,3.14,7
P000302,3.64,11
P000303,3.78,9
P000304,3.36,11
P000305,2.86,7
P000306,3.67,6
P000307,3.71,7
P000308,4.17,6
P000309,3.6,5
P000310,3.43,7
P000311,3.43,7
P000312,3.33,6
P000313,3.64,11
P000314,3.2,5
P000315,4.17,6
P000316,3.5,8
P000317,3.0,6
P000318,4.25,4
P000319,4.33,6
P000320,3.45,11
P000321,3.8,10
P000322,3.82,11
P000323,3.5,8
P000324,3.42,12
P000325,3.4,5
P000326,3.75,8
P000327,4.0,6
P000328,3.38,8
P000329,4.0,8
P000330,3.54,13
P000331,3.82,11
P000332,3.85,13
P000333,3.17,6
P000334,3.73,11
P000335,3.5,6
P000336,2.75,8
P000337,3.67,9
P000338,3.43,7
P000339,3.89,9
P000340,3.77,13
P000341,3.86,7
P000342,3.5,4
P000343,3.44,9
P000344,3.8,5
P000345,4.5,4
P000346,3.0,8
P000347,3.4,10
P000348,3.75,8
P000349,4.0,4
P000350,4.0,8
P000351,3.33,6
P000352,3.67,9
P000353,3.45,11
P000354,3.67,6
P000355,3.67,9
P000356,3.46,13
P000357,3.55,11
P000358,3.0,9
P000359,3.5,2
P000360,3.0,2
P000361,3.86,7
P000362,3.62,8
P000363,4.0,6
P000364,3.17,6
P000365,3.2,5
P000366,4.0,9
P000367,3.17,6
P000368,3.4,5
P000369,3.5,12
P000370,3.86,7
P000371,3.57,7
P000372,3.5,6
P000373,3.33,9
P000374,3.4,5
P000375,3.0,6
P000376,3.22,9
P000377,3.25,8
P000378,2.86,7
P000379,3.75,4
P000380,3.56,9
P000381,4.14,7
P000382,3.67,6
P000383,3.0,7
P000384,3.31,13
P000385,4.17,6
P000386,3.6,5
P000387,2.75,4
P000388,3.56,9
P000389,3.57,7
P000390,3.8,10
P000391,3.64,11
P000392,3.5,8
P000393,3.86,7
P000394,4.29,7
P000395,3.44,9
P000396,3.89,9
P000397,4.43,7
P000398,4.0,3
P000399,3.62,8
P000400,3.78,9
P000401,3.56,9
P000402,2.83,6
P000403,3.4,10
P000404,3.38,8
P000405,3.5,4
P000406,3.67,3
P000407,2.89,9
P000408,3.8,10
P000409,2.8,5
P000410,3.67,3
P000411,3.67,6
P000412,2.67,3
P000413,4.0,13
P000414,3.27,11
P000415,4.4,5
P000416,2.67,3
P000417,3.67,9
P000418,3.25,8
P000419,4.2,5
P000420,3.5,8
P000421,3.0,4
P000422,3.54,13
P000423,3.43,7
P000424,2.6,10
P000425,2.67,3
P000426,4.33,3
P000427,3.25,8
P000428,3.56,9
P000429,3.0,5
P000430,4.0,2
P000431,4.4,5
P000432,3.5,8
P000433,3.6,10
P000434,3.42,12
P000435,3.29,7
P000436,3.0,6
P000437,3.0,7
P000438,3.83,12
P000439,3.33,9
P000440,3.83,12
P000441,3.78,9
P000442,3.0,6
P000443,3.44,9
P000444,3.44,9
P000445,3.17,6
P000446,3.67,15
P000447,4.5,6
P000448,3.62,16
P000449,4.0,1
P000450,3.62,8
P000451,4.0,7
P000452,3.22,9
P000453,3.67,3
P000454,3.29,7
P000455,3.5,6
P000456,3.83,6
P000457,3.0,7
P000458,3.58,12
P000459,2.62,8
P000460,3.86,7
P000461,3.86,7
P000462,4.0,12
P000463,3.5,2
P000464,4.4,5
P000465,3.25,4
P000466,3.0,7
P000467,3.56,9
P000468,2.91,11
P000469,3.88,8
P000470,3.4,5
P000471,4.0,9
P000472,3.5,10
P000473,2.8,5
P000474,2.6,5
P000475,3.1,10
P000476,3.29,7
P000477,3.67,6
P000478,3.45,11
P000479,3.57,7
P000480,3.88,8
P000481,3.17,12
P000482,3.25,4
P000483,4.0,6
P000484,4.1,10
P000485,3.75,12
P000486,4.0,6
P000487,3.71,7
P000488,3.54,13
P000489,4.0,9
P000490,3.2,5
P000491,3.25,4
P000492,3.86,14
P000493,3.8,5
P000494,3.33,6
P000495,4.0,4
P000496,3.64,11
P000497,3.4,20
P000498,3.5,8
P000499,2.6,5
P000500,3.5,10
P000501,3.33,6
P000502,2.67,3
P000503,3.5,6
P000504,4.0,5
P000505,3.78,9
P000506,4.5,4
P000507,3.5,14
P000508,3.43,7
P000509,3.82,11
P000510,3.2,5
P000511,3.5,4
P000512,4.17,12
P000513,3.75,4
P000514,3.57,7
P000515,3.67,12
P000516,3.0,9
P000517,3.5,6
P000518,3.25,8
P000519,3.56,9
P000520,2.6,5
P000521,3.89,9
P000522,4.5,6
P000523,4.5,4
P000524,3.5,6
P000525,3.1,10
P000526,3.4,5
P000527,3.33,6
P000528,3.86,7
P000529,3.3,10
P000530,3.2,5
P000531,3.33,3
P000532,4.0,2
P000533,4.5,4
P000534,3.5,8
P000535,3.0,7
P000536,4.33,6
P000537,2.71,7
P000538,3.29,7
P000539,2.5,4
P000540,3.45,11
P000541,3.33,6
P000542,3.54,13
P000543,3.91,11
P000544,4.0,6
P000545,3.18,11
P000546,3.5,8
P000547,3.5,6
P000548,4.0,10
P000549,3.33,3
P000550,4.0,4
P000551,3.33,9
P000552,2.8,5
P000553,4.0,4
P000554,3.8,5
P000555,3.67,9
P000556,4.0,7
P000557,3.5,8
P000558,3.88,8
P000559,3.67,9
P000560,3.9,10
P000561,3.88,8
P000562,3.5,4
P000563,3.29,7
P000564,2.5,6
P000565,3.78,9
P000566,3.4,5
P000567,3.86,7
P000568,3.56,9
P000569,3.2,5
P000570,3.3,10
P000571,3.14,7
P000572,4.5,4
P000573,3.33,6
P000574,4.25,4
P000575,2.89,9
P000576,4.3,10
P000577,3.75,4
P000578,3.86,7
P000579,3.29,7
P000580,3.43,7
P000581,3.43,7
P000582,4.0,7
P000583,3.0,6
P000584,3.33,6
P000585,3.75,8
P000586,3.17,6
P000587,3.6,10
P000588,3.75,12
P000589,3.2,10
P000590,3.44,9
P000591,4.12,8
P000592,3.6,10
P000593,3.17,6
P000594,3.78,9
P000595,2.6,5
P000596,3.5,12
P000597,3.14,7
P000598,3.71,7
P000599,3.2,10
P000600,4.0,5
P000601,2.57,7
P000602,3.33,12
P000603,3.22,9
P000604,3.62,8
P000605,3.9,10
P000606,3.75,8
P000607,2.75,8
P000608,4.17,6
P000609,3.56,9
P000610,3.53,15
P000611,4.29,7
P000612,4.11,9
P000613,4.0,4
P000614,3.0,10
P000615,3.43,7
P000616,3.8,5
P000617,2.5,6
P000618,4.5,8
P000619,3.9,10
P000620,4.0,8
P000621,3.46,13
P000622,3.8,5
P000623,2.6,5
P000624,3.57,7
P000625,3.75,4
P000626,3.29,7
P000627,2.83,6
P000628,4.14,7
P000629,3.2,10
P000630,4.0,4
P000631,3.2,5
P000632,3.25,8
P000633,3.75,12
P000634,2.6,5
P000635,3.62,8
P000636,3.23,13
P000637,3.2,10
P000638,3.5,12
P000639,4.0,6
P000640,4.33,6
P000641,4.33,3
P000642,3.8,5
P000643,3.45,11
P000644,2.86,7
P000645,3.42,12
P000646,3.4,10
P000647,2.9,10
P000648,3.6,5
P000649,4.17,12
P000650,3.18,11
P000651,3.12,8
P000652,4.4,5
P000653,3.33,9
P000654,4.08,13
P000655,4.22,9
P000656,3.6,5
P000657,3.75,4
P000658,3.0,10
P000659,4.0,9
P000660,3.75,4
P000661,3.29,7
P000662,4.4,5
P000663,4.33,6
P000664,3.2,5
P000665,3.14,7
P000666,2.62,8
P000667,4.0,5
P000668,3.25,4
P000669,3.56,9
P000670,4.25,4
P000671,3.75,4
P000672,3.75,8
P000673,3.71,7
P000674,3.8,5
P000675,3.4,5
P000676,3.0,3
P000677,3.29,14
P000678,4.25,8
P000679,3.78,9
P000680,2.75,8
P000681,3.43,7
P000682,3.88,8
P000683,3.0,4
P000684,3.54,13
P000685,3.57,7
P000686,3.0,6
P000687,3.4,10
P000688,2.5,2
P000689,3.12,8
P000690,3.86,7
P000691,3.75,12
P000692,4.0,9
P000693,3.22,9
P000694,4.38,8
P000695,3.6,5
P000696,3.17,6
P000697,3.1,10
P000698,3.33,12
P000699,3.88,8
P000700,3.44,9
P000701,3.75,4
P000702,3.4,5
P000703,2.5,4
P000704,3.82,11
P000705,4.29,7
P000706,4.0,9
P000707,3.82,11
P000708,3.43,7
P000709,3.71,7
P000710,3.38,8
P000711,4.0,5
P000712,3.0,3
P000713,4.22,9
P000714,2.9,10
P000715,3.12,8
P000716,3.5,6
P000717,3.1,10
P000718,4.0,7
P000719,3.0,8
P000720,3.67,3
P000721,4.14,7
P000722,3.88,8
P000723,3.4,5
P000724,4.0,8
P000725,2.75,4
P000726,4.4,10
P000727,3.57,7
P000728,4.33,9
P000729,3.5,8
P000730,3.83,6
P000731,3.82,11
P000732,2.5,4
P000733,3.67,6
P000734,2.62,8
P000735,4.0,6
P000736,3.17,6
P000737,4.22,9
P000738,3.4,5
P000739,3.67,6
P000740,3.4,15
P000741,4.0,2
P000742,3.57,7
P000743,3.33,6
P000744,3.56,9
P000745,2.67,6
P000746,3.25,12
P000747,3.2,5
P000748,3.5,6
P000749,3.29,7
P000750,3.62,8
P000751,3.91,11
P000752,3.8,5
P000753,2.67,3
P000754,4.14,7
P000755,2.75,4
P000756,3.83,12
P000757,3.44,9
P000758,3.57,14
P000759,3.86,7
P000760,3.75,12
P000761,3.9,10
P000762,3.53,17
P000763,3.7,10
P000764,4.12,8
P000765,3.4,10
P000766,3.0,8
P000767,3.46,13
P000768,3.9,10
P000769,4.0,9
P000770,3.89,9
P000771,4.0,6
P000772,3.5,4
P000773,5.0,1
P000774,3.62,8
P000775,3.56,9
P000776,3.56,9
P000777,3.5,12
P000778,4.67,3
P000779,3.57,7
P000780,3.42,12
P000781,4.11,9
P000782,3.0,10
P000783,3.0,3
P000784,4.29,7
P000785,4.17,6
P000786,4.33,3
P000787,2.9,10
P000788,4.09,11
P000789,3.33,12
P000790,2.62,8
P000791,3.4,5
P000792,3.25,4
P000793,4.0,7
P000794,3.4,5
P000795,4.2,5
P000796,3.67,6
P000797,3.6,5
P000798,3.43,7
P000799,3.88,8
P000800,3.12,8
P000801,3.25,12
P000802,4.0,6
P000803,3.75,12
P000804,3.6,5
P000805,4.2,5
P000806,2.75,4
P000807,3.0,6
P000808,3.33,6
P000809,3.6,5
P000810,3.0,4
P000811,3.8,5
P000812,3.5,6
P000813,3.71,7
P000814,3.71,7
P000815,3.56,9
P000816,3.11,9
P000817,3.57,14
P000818,3.0,4
P000819,3.22,9
P000820,4.0,7
P000821,2.91,11
P000822,3.2,5
P000823,4.0,5
P000824,3.45,11
P000825,3.92,12
P000826,3.0,5
P000827,3.77,13
P000828,4.0,2
P000829,3.78,9
P000830,3.75,8
P000831,2.67,6
P000832,3.75,8
P000833,5.0,4
P000834,3.6,5
P000835,3.92,12
P000836,3.79,14
P000837,3.7,10
P000838,3.6,5
P000839,4.0,4
P000840,3.75,12
P000841,3.57,7
P000842,3.8,5
P000843,3.0,6
P000844,5.0,2
P000845,2.67,6
P000846,3.29,7
P000847,3.86,7
P000848,4.17,6
P000849,3.2,5
P000850,2.71,7
P000851,2.83,12
P000852,4.25,4
P000853,3.3,10
P000854,3.5,8
P000855,3.71,14
P000856,3.38,8
P000857,2.67,3
P000858,3.38,8
P000859,3.5,12
P000860,3.17,6
P000861,3.0,7
P000862,3.33,6
P000863,4.43,7
P000864,4.0,10
P000865,4.0,6
P000866,4.0,8
P000867,3.38,8
P000868,3.78,9
P000869,3.5,12
P000870,3.9,10
P000871,3.57,7
P000872,2.89,9
P000873,3.67,3
P000874,4.0,5
P000875,3.0,3
P000876,4.33,6
P000877,4.0,4
P000878,3.78,9
P000879,3.75,8
P000880,3.78,9
P000881,3.2,5
P000882,3.55,11
P000883,3.78,9
P000884,3.91,11
P000885,3.4,5
P000886,2.6,5
P000887,3.0,6
P000888,3.14,7
P000889,2.71,7
P000890,3.12,8
P000891,3.42,12
P000892,3.29,7
P000893,3.7,10
P000894,4.0,7
P000895,3.0,5
P000896,3.5,8
P000897,4.17,6
P000898,3.67,6
P000899,3.67,6
P000900,3.4,5
P000901,3.43,7
P000902,3.71,17
P000903,3.0,8
P000904,5.0,3
P000905,3.2,10
P000906,3.86,7
P000907,3.15,13
P000908,4.4,10
P000909,4.0,10
P000910,3.33,6
P000911,3.71,7
P000912,3.6,5
P000913,4.0,7
P000914,3.1,10
P000915,4.2,5
P000916,4.33,3
P000917,2.71,7
P000918,3.56,9
P000919,4.25,8
P000920,3.29,7
P000921,3.8,5
P000922,3.33,9
P000923,3.4,5
P000924,3.4,10
P000925,3.5,4
P000926,3.5,8
P000927,3.33,3
P000928,3.42,12
P000929,3.89,9
P000930,3.0,13
P000931,4.17,6
P000932,3.89,9
P000933,4.29,7
P000934,3.7,10
P000935,2.8,5
P000936,3.3,10
P000937,3.67,3
P000938,3.38,8
P000939,3.43,7
P000940,3.5,4
P000941,3.67,9
P000942,2.83,6
P000943,3.0,7
P000944,3.83,6
P000945,4.0,7
P000946,3.57,7
P000947,3.77,13
P000948,3.25,4
P000949,3.75,8
P000950,3.38,8
P000951,3.6,5
P000952,3.83,12
P000953,3.0,9
P000954,3.87,15
P000955,3.82,11
P000956,3.38,8
P000957,3.29,7
P000958,3.25,4
P000959,4.12,8
P000960,4.0,10
P000961,3.8,5
P000962,2.88,8
P000963,3.73,11
P000964,3.62,8
P000965,2.83,6
P000966,3.38,8
P000967,3.12,8
P000968,3.5,8
P000969,3.33,6
P000970,3.57,7
P000971,2.75,4
P000972,3.88,8
P000973,3.67,3
P000974,2.0,3
P000975,3.5,4
P000976,3.33,6
P000977,3.62,8
P000978,3.0,7
P000979,3.4,10
P000980,3.9,10
P000981,3.75,8
P000982,3.22,9
P000983,3.6,5
P000984,3.56,9
P000985,3.44,9
P000986,3.25,8
P000987,3.45,11
P000988,3.0,10
P000989,3.83,6
P000990,3.71,7
P000991,3.67,9
P000992,2.6,5
P000993,3.33,6
P000994,3.0,4
P000995,4.0,3
P000996,3.25,12
P000997,3.75,4
P000998,3.88,8
P000999,3.57,7
P001000,2.8,5
P001001,3.78,9
P001002,3.89,9
P001003,3.9,10
P001004,3.57,7
P001005,3.89,9
P001006,4.0,2
P001007,3.2,5
P001008,2.8,5
P001009,3.43,7
P001010,3.5,4
P001011,4.0,4
P001012,3.5,6
P001013,3.57,7
P001014,3.5,8
P001015,3.0,10
P001016,2.0,1
P001017,4.2,5
P001018,3.44,9
P001019,3.67,9
P001020,3.71,7
P001021,3.67,3
P001022,3.89,9
P001023,3.43,7
P001024,3.5,4
P001025,3.71,7
P001026,4.29,7
P001027,4.0,3
P001028,3.25,8
P001029,3.17,6
P001030,3.75,4
P001031,3.3,10
P001032,3.25,8
P001033,4.0,4
P001034,3.38,8
P001035,3.67,3
P001036,3.88,16
P001037,2.67,6
P001038,3.0,6
P001039,3.75,12
P001040,3.85,13
P001041,3.43,7
P001042,4.6,5
P001043,3.6,5
P001044,3.6,10
P001045,4.57,7
P001046,4.11,9
P001047,3.33,6
P001048,2.71,7
P001049,3.67,6
P001050,3.93,15
P001051,3.29,7
P001052,3.67,12
P001053,3.0,5
P001054,3.57,7
P001055,3.5,18
P001056,3.14,14
P001057,3.71,7
P001058,4.0,5
P001059,3.36,11
P001060,3.5,2
P001061,3.25,4
P001062,3.7,10
P001063,3.71,7
P001064,3.0,6
P001065,3.29,7
P001066,3.0,4
P001067,3.83,6
P001068,3.71,7
P001069,3.0,10
P001070,3.92,12
P001071,3.2,5
P001072,3.0,3
P001073,3.67,6
P001074,4.75,4
P001075,3.75,8
P001076,3.83,6
P001077,3.71,7
P001078,3.17,6
P001079,3.33,12
P001080,3.44,9
P001081,3.4,10
P001082,3.2,10
P001083,3.57,7
P001084,3.75,8
P001085,4.29,7
P001086,3.67,9
P001087,3.86,7
P001088,3.33,9
P001089,4.25,8
P001090,4.4,5
P001091,3.0,5
P001092,3.7,10
P001093,3.88,8
P001094,2.5,4
P001095,3.43,7
P001096,3.67,9
P001097,3.8,5
P001098,4.0,6
P001099,3.5,6
P001100,3.78,9
P001101,3.4,10
P001102,3.57,7
P001103,3.38,8
P001104,3.43,7
P001105,3.43,7
P001106,3.6,5
P001107,4.2,5
P001108,3.83,12
P001109,3.6,10
P001110,3.2,10
P001111,3.38,13
P001112,3.0,10
P001113,4.4,5
P001114,3.9,10
P001115,3.43,7
P001116,2.83,6
P001117,4.33,6
P001118,3.71,7
P001119,3.38,8
P001120,4.11,9
P001121,3.0,6
P001122,3.57,7
P001123,3.33,6
P001124,3.0,7
P001125,3.55,11
P001126,3.6,10
P001127,4.17,6
P001128,4.0,6
P001129,3.75,4
P001130,3.75,4
P001131,4.0,3
P001132,3.2,5
P001133,3.56,9
P001134,2.8,10
P001135,3.25,8
P001136,3.25,4
P001137,3.67,9
P001138,3.17,6
P001139,4.0,6
P001140,3.43,7
P001141,3.25,8
P001142,3.56,9
P001143,3.0,12
P001144,3.36,11
P001145,3.69,13
P001146,3.75,8
P001147,4.0,5
P001148,3.83,6
P001149,3.4,10
P001150,3.36,11
P001151,3.44,9
P001152,3.6,5
P001153,3.44,9
P001154,4.11,9
P001155,3.5,4
P001156,3.0,12
P001157,2.71,7
P001158,3.64,11
P001159,3.38,8
P001160,4.0,6
P001161,4.0,1
P001162,4.17,6
P001163,3.6,5
P001164,3.8,15
P001165,3.67,6
P001166,3.38,8
P001167,3.56,9
P001168,3.25,8
P001169,3.9,10
P001170,2.8,5
P001171,3.36,14
P001172,3.88,8
P001173,3.71,7
P001174,2.88,8
P001175,3.25,8
P001176,3.5,10
P001177,4.11,9
P001178,3.18,11
P001179,3.0,4
P001180,3.33,6
P001181,3.25,8
P001182,3.33,6
P001183,2.17,6
P001184,3.75,8
P001185,4.0,5
P001186,3.0,7
P001187,3.56,9
P001188,3.42,12
P001189,3.88,8
P001190,3.86,7
P001191,3.09,11
P001192,3.7,10
P001193,3.5,8
P001194,3.5,4
P001195,3.3,10
P001196,3.82,11
P001197,3.4,5
P001198,4.0,5
P001199,3.7,10
P001200,3.5,12
P001201,3.43,7
P001202,4.0,3
P001203,3.5,8
P001204,3.25,4
P001205,3.2,5
P001206,3.67,9
P001207,3.58,12
P001208,4.12,8
P001209,3.4,5
P001210,3.25,4
P001211,3.4,10
P001212,3.67,9
P001213,3.83,6
P001214,2.6,5
P001215,4.0,5
P001216,4.4,5
P001217,3.67,6
P001218,3.14,7
P001219,3.86,7
P001220,4.29,7
P001221,3.5,8
P001222,4.14,7
P001223,2.88,8
P001224,3.0,4
P001225,3.0,6
P001226,3.36,11
P001227,4.33,12
P001228,3.8,10
P001229,3.5,6
P001230,4.1,10
P001231,3.14,7
P001232,3.0,4
P001233,3.25,8
P001234,4.12,8
P001235,3.36,11
P001236,4.0,6
P001237,4.0,10
P001238,4.0,6
P001239,2.9,10
P001240,4.38,8
P001241,3.83,6
P001242,4.0,3
P001243,3.22,9
P001244,3.43,7
P001245,3.0,4
P001246,3.67,6
P001247,3.83,6
P001248,3.89,9
P001249,4.12,8
P001250,3.4,10
P001251,3.0,10
P001252,3.78,9
P001253,3.86,7
P001254,3.22,9
P001255,3.8,5
P001256,2.73,11
P001257,3.33,9
P001258,3.67,12
P001259,3.62,8
P001260,3.33,6
P001261,3.88,8
P001262,3.5,6
P001263,3.5,4
P001264,3.58,12
P001265,3.5,6
P001266,3.91,11
P001267,4.0,5
P001268,3.9,10
P001269,3.14,14
P001270,3.5,4
P001271,2.0,6
P001272,4.2,5
P001273,4.2,10
P001274,4.12,8
P001275,3.78,9
P001276,3.18,11
P001277,3.33,6
P001278,4.0,10
P001279,3.33,15
P001280,3.75,4
P001281,3.6,5
P001282,3.57,7
P001283,3.8,10
P001284,3.0,6
P001285,3.09,11
P001286,3.33,9
P001287,3.8,5
P001288,4.2,5
P001289,3.71,7
P001290,3.2,10
P001291,3.4,10
P001292,4.0,4
P001293,3.5,10
P001294,3.5,8
P001295,3.4,5
P001296,3.83,6
P001297,3.67,6
P001298,3.14,7
P001299,3.5,10
P001300,3.5,4
P001301,3.33,6
P001302,3.0,1
P001303,3.0,3
P001304,3.33,12
P001305,4.2,10
P001306,3.1,10
P001307,3.7,10
P001308,3.62,8
P001309,3.36,11
P001310,3.0,4
P001311,4.11,9
P001312,3.5,2
P001313,2.8,5
P001314,3.62,8
P001315,3.92,13
P001316,3.83,6
P001317,4.0,6
P001318,3.3,10
P001319,3.2,5
P001320,3.5,2
P001321,3.57,7
P001322,3.31,13
P001323,3.71,7
P001324,3.8,5
P001325,3.8,5
P001326,3.56,9
P001327,3.67,6
P001328,3.45,11
P001329,3.69,13
P001330,2.89,9
P001331,3.17,6
P001332,3.75,8
P001333,2.75,4
P001334,4.12,8
P001335,4.25,4
P001336,3.0,8
P001337,3.86,7
P001338,3.6,10
P001339,3.8,5
P001340,3.5,4
P001341,4.17,6
P001342,4.0,5
P001343,3.4,10
P001344,2.88,8
P001345,3.78,9
P001346,3.75,4
P001347,3.33,6
P001348,3.54,13
P001349,3.29,7
P001350,2.67,6
P001351,3.86,7
P001352,3.67,6
P001353,4.12,8
P001354,3.33,9
P001355,3.67,6
P001356,3.29,7
P001357,4.12,8
P001358,3.71,7
P001359,3.45,11
P001360,3.78,9
P001361,4.0,8
P001362,3.33,12
P001363,3.33,9
P001364,3.73,11
P001365,3.67,3
P001366,3.43,7
P001367,3.8,5
P001368,2.25,4
P001369,3.8,5
P001370,3.0,7
P001371,3.8,5
P001372,3.0,6
P001373,3.77,13
P001374,3.67,6
P001375,4.0,5
P001376,3.17,6
P001377,3.83,6
P001378,3.86,7
P001379,4.0,10
P001380,3.57,7
P001381,3.36,11
P001382,3.25,4
P001383,4.17,6
P001384,3.12,8
P001385,2.89,9
P001386,4.27,11
P001387,3.33,18
P001388,3.0,3
P001389,3.91,11
P001390,3.6,5
P001391,4.25,8
P001392,4.0,14
P001393,4.25,4
P001394,4.0,12
P001395,3.67,12
P001396,3.57,7
P001397,4.11,9
